2008-10-04,Pittsburgh Penguins,4,Ottawa Senators,3,OT,"at Stockholm, SE"
2008-10-04,New York Rangers,2,Tampa Bay Lightning,1,,"at Prague, CZ"
2008-10-05,Tampa Bay Lightning,1,New York Rangers,2,,"at Prague, CZ"
2008-10-05,Ottawa Senators,3,Pittsburgh Penguins,1,,"at Stockholm, SE"
2008-10-09,Boston Bruins,5,Colorado Avalanche,4,,
2008-10-09,Toronto Maple Leafs,3,Detroit Red Wings,2,,
2008-10-09,Anaheim Ducks,1,San Jose Sharks,4,,
2008-10-09,Calgary Flames,0,Vancouver Canucks,6,,
2008-10-10,Washington Capitals,4,Atlanta Thrashers,7,,
2008-10-10,Montreal Canadiens,1,Buffalo Sabres,2,SO,
2008-10-10,Florida Panthers,4,Carolina Hurricanes,6,,
2008-10-10,Columbus Blue Jackets,5,Dallas Stars,4,OT,
2008-10-10,New York Islanders,1,New Jersey Devils,2,,
2008-10-10,Chicago Blackhawks,2,New York Rangers,4,,
2008-10-10,Nashville Predators,2,St. Louis Blues,5,,
2008-10-11,Vancouver Canucks,5,Calgary Flames,4,OT,
2008-10-11,Atlanta Thrashers,2,Florida Panthers,3,OT,
2008-10-11,Boston Bruins,3,Minnesota Wild,4,,
2008-10-11,Dallas Stars,1,Nashville Predators,3,,
2008-10-11,St. Louis Blues,2,New York Islanders,5,,
2008-10-11,Detroit Red Wings,3,Ottawa Senators,2,,
2008-10-11,New York Rangers,4,Philadelphia Flyers,3,,
2008-10-11,Columbus Blue Jackets,1,Phoenix Coyotes,3,,
2008-10-11,New Jersey Devils,2,Pittsburgh Penguins,1,OT,
2008-10-11,Los Angeles Kings,1,San Jose Sharks,3,,
2008-10-11,Carolina Hurricanes,4,Tampa Bay Lightning,3,OT,
2008-10-11,Montreal Canadiens,6,Toronto Maple Leafs,1,,
2008-10-11,Chicago Blackhawks,2,Washington Capitals,4,,
2008-10-12,Phoenix Coyotes,4,Anaheim Ducks,2,,
2008-10-12,Colorado Avalanche,2,Edmonton Oilers,3,,
2008-10-12,San Jose Sharks,1,Los Angeles Kings,0,,
2008-10-13,Detroit Red Wings,3,Carolina Hurricanes,1,,
2008-10-13,Nashville Predators,3,Chicago Blackhawks,2,SO,
2008-10-13,Buffalo Sabres,7,New York Islanders,1,,
2008-10-13,New Jersey Devils,1,New York Rangers,4,,
2008-10-13,Montreal Canadiens,5,Philadelphia Flyers,3,,
2008-10-13,St. Louis Blues,5,Toronto Maple Leafs,4,SO,
2008-10-13,Vancouver Canucks,1,Washington Capitals,5,,
2008-10-14,Minnesota Wild,4,Atlanta Thrashers,2,,
2008-10-14,Colorado Avalanche,4,Calgary Flames,5,,
2008-10-14,Anaheim Ducks,3,Los Angeles Kings,6,,
2008-10-14,Philadelphia Flyers,2,Pittsburgh Penguins,3,OT,
2008-10-14,Columbus Blue Jackets,2,San Jose Sharks,5,,
2008-10-15,Edmonton Oilers,3,Anaheim Ducks,2,,
2008-10-15,Phoenix Coyotes,1,Chicago Blackhawks,4,,
2008-10-15,Nashville Predators,4,Dallas Stars,6,,
2008-10-15,Boston Bruins,3,Montreal Canadiens,4,SO,
2008-10-15,Buffalo Sabres,3,New York Rangers,1,,
2008-10-16,New Jersey Devils,1,Atlanta Thrashers,0,,
2008-10-16,Philadelphia Flyers,2,Colorado Avalanche,5,,
2008-10-16,Vancouver Canucks,4,Detroit Red Wings,3,OT,
2008-10-16,Minnesota Wild,6,Florida Panthers,2,,
2008-10-16,Washington Capitals,4,Pittsburgh Penguins,3,,
2008-10-16,Dallas Stars,1,St. Louis Blues,6,,
2008-10-16,New York Islanders,4,Tampa Bay Lightning,3,OT,
2008-10-17,San Jose Sharks,0,Anaheim Ducks,4,,
2008-10-17,Vancouver Canucks,2,Buffalo Sabres,5,,
2008-10-17,Nashville Predators,3,Columbus Blue Jackets,5,,
2008-10-17,Edmonton Oilers,4,Calgary Flames,3,,
2008-10-17,Carolina Hurricanes,3,Los Angeles Kings,4,OT,
2008-10-17,Toronto Maple Leafs,0,New York Rangers,1,SO,
2008-10-17,Phoenix Coyotes,3,Ottawa Senators,6,,
2008-10-18,Buffalo Sabres,2,Atlanta Thrashers,3,SO,
2008-10-18,Colorado Avalanche,5,Dallas Stars,4,,
2008-10-18,New York Rangers,4,Detroit Red Wings,5,OT,
2008-10-18,Calgary Flames,2,Edmonton Oilers,3,,
2008-10-18,New York Islanders,0,Florida Panthers,2,,
2008-10-18,Phoenix Coyotes,1,Montreal Canadiens,4,,
2008-10-18,Columbus Blue Jackets,3,Nashville Predators,6,,
2008-10-18,Boston Bruins,4,Ottawa Senators,2,,
2008-10-18,Toronto Maple Leafs,1,Pittsburgh Penguins,4,,
2008-10-18,Philadelphia Flyers,4,San Jose Sharks,5,OT,
2008-10-18,Chicago Blackhawks,3,St. Louis Blues,4,SO,
2008-10-18,Minnesota Wild,1,Tampa Bay Lightning,0,SO,
2008-10-18,New Jersey Devils,4,Washington Capitals,3,SO,
2008-10-19,Carolina Hurricanes,3,Anaheim Ducks,1,,
2008-10-19,Vancouver Canucks,2,Chicago Blackhawks,4,,
2008-10-20,Pittsburgh Penguins,2,Boston Bruins,1,SO,
2008-10-20,Colorado Avalanche,4,Los Angeles Kings,3,,
2008-10-20,Florida Panthers,1,Montreal Canadiens,3,,
2008-10-20,Dallas Stars,2,New York Rangers,1,,
2008-10-21,Boston Bruins,2,Buffalo Sabres,3,SO,
2008-10-21,Vancouver Canucks,2,Columbus Blue Jackets,4,,
2008-10-21,Washington Capitals,1,Calgary Flames,2,,
2008-10-21,Atlanta Thrashers,2,Tampa Bay Lightning,3,OT,
2008-10-21,Anaheim Ducks,3,Toronto Maple Leafs,2,SO,
2008-10-22,Edmonton Oilers,0,Chicago Blackhawks,3,,
2008-10-22,Dallas Stars,0,New Jersey Devils,5,,
2008-10-22,Florida Panthers,3,Ottawa Senators,1,,
2008-10-22,San Jose Sharks,7,Philadelphia Flyers,6,SO,
2008-10-22,Detroit Red Wings,4,St. Louis Blues,3,,
2008-10-23,Toronto Maple Leafs,4,Boston Bruins,2,,
2008-10-23,Edmonton Oilers,1,Colorado Avalanche,4,,
2008-10-23,Buffalo Sabres,4,Minnesota Wild,3,OT,
2008-10-23,Calgary Flames,5,Nashville Predators,3,,
2008-10-23,Dallas Stars,5,New York Islanders,3,,
2008-10-23,Washington Capitals,1,Phoenix Coyotes,2,,
2008-10-23,Carolina Hurricanes,1,Pittsburgh Penguins,4,,
2008-10-24,New York Rangers,3,Columbus Blue Jackets,1,,
2008-10-24,Atlanta Thrashers,3,Detroit Red Wings,5,,
2008-10-24,San Jose Sharks,3,Florida Panthers,4,,
2008-10-24,Philadelphia Flyers,6,New Jersey Devils,3,,
2008-10-24,Anaheim Ducks,4,Ottawa Senators,3,,
2008-10-24,Los Angeles Kings,4,St. Louis Blues,0,,
2008-10-25,Atlanta Thrashers,4,Boston Bruins,5,,
2008-10-25,Detroit Red Wings,6,Chicago Blackhawks,5,SO,
2008-10-25,Buffalo Sabres,1,Colorado Avalanche,2,SO,
2008-10-25,Washington Capitals,6,Dallas Stars,5,OT,
2008-10-25,Columbus Blue Jackets,1,Minnesota Wild,2,,
2008-10-25,Anaheim Ducks,6,Montreal Canadiens,4,,
2008-10-25,Los Angeles Kings,4,Nashville Predators,5,,
2008-10-25,Carolina Hurricanes,4,New York Islanders,3,,
2008-10-25,Pittsburgh Penguins,2,New York Rangers,3,SO,
2008-10-25,New Jersey Devils,2,Philadelphia Flyers,3,OT,
2008-10-25,Calgary Flames,4,Phoenix Coyotes,1,,
2008-10-25,Florida Panthers,0,St. Louis Blues,4,,
2008-10-25,San Jose Sharks,3,Tampa Bay Lightning,0,,
2008-10-25,Ottawa Senators,2,Toronto Maple Leafs,3,,
2008-10-25,Edmonton Oilers,3,Vancouver Canucks,6,,
2008-10-27,Ottawa Senators,5,Buffalo Sabres,2,,
2008-10-27,Anaheim Ducks,3,Columbus Blue Jackets,2,,
2008-10-27,Boston Bruins,1,Edmonton Oilers,0,OT,
2008-10-27,Detroit Red Wings,4,Los Angeles Kings,3,SO,
