2007-09-29,Anaheim Ducks,1,Los Angeles Kings,4,,"at London, GB"
2007-09-30,Los Angeles Kings,1,Anaheim Ducks,4,,"at London, GB"
2007-10-03,Montreal Canadiens,3,Carolina Hurricanes,2,OT,
2007-10-03,Dallas Stars,3,Colorado Avalanche,4,,
2007-10-03,Anaheim Ducks,2,Detroit Red Wings,3,SO,
2007-10-03,Ottawa Senators,4,Toronto Maple Leafs,3,OT,
2007-10-04,Philadelphia Flyers,3,Calgary Flames,2,,
2007-10-04,San Jose Sharks,2,Edmonton Oilers,3,SO,
2007-10-04,Chicago Blackhawks,0,Minnesota Wild,1,,
2007-10-04,Colorado Avalanche,0,Nashville Predators,4,,
2007-10-04,Florida Panthers,2,New York Rangers,5,,
2007-10-04,Toronto Maple Leafs,2,Ottawa Senators,3,,
2007-10-04,St. Louis Blues,2,Phoenix Coyotes,3,,
2007-10-04,New Jersey Devils,1,Tampa Bay Lightning,3,,
2007-10-05,Washington Capitals,3,Atlanta Thrashers,1,,
2007-10-05,New York Islanders,6,Buffalo Sabres,4,,
2007-10-05,Pittsburgh Penguins,1,Carolina Hurricanes,4,,
2007-10-05,Anaheim Ducks,0,Columbus Blue Jackets,4,,
2007-10-05,Boston Bruins,1,Dallas Stars,4,,
2007-10-05,San Jose Sharks,3,Vancouver Canucks,1,,
2007-10-06,Vancouver Canucks,4,Calgary Flames,3,OT,
2007-10-06,Detroit Red Wings,3,Chicago Blackhawks,4,SO,
2007-10-06,Philadelphia Flyers,3,Edmonton Oilers,5,,
2007-10-06,New Jersey Devils,4,Florida Panthers,1,,
2007-10-06,St. Louis Blues,5,Los Angeles Kings,3,,
2007-10-06,Columbus Blue Jackets,2,Minnesota Wild,3,,
2007-10-06,Dallas Stars,1,Nashville Predators,5,,
2007-10-06,Buffalo Sabres,2,New York Islanders,3,,
2007-10-06,New York Rangers,0,Ottawa Senators,2,,
2007-10-06,Boston Bruins,3,Phoenix Coyotes,1,,
2007-10-06,Anaheim Ducks,4,Pittsburgh Penguins,5,,
2007-10-06,Atlanta Thrashers,2,Tampa Bay Lightning,5,,
2007-10-06,Montreal Canadiens,3,Toronto Maple Leafs,4,OT,
2007-10-06,Carolina Hurricanes,0,Washington Capitals,2,,
2007-10-07,San Jose Sharks,2,Colorado Avalanche,6,,
2007-10-08,Edmonton Oilers,2,Detroit Red Wings,4,,
2007-10-08,Washington Capitals,2,New York Islanders,1,,
2007-10-08,New Jersey Devils,2,Ottawa Senators,4,,
2007-10-09,Carolina Hurricanes,7,Toronto Maple Leafs,1,,
2007-10-10,Boston Bruins,1,Anaheim Ducks,2,,
2007-10-10,Ottawa Senators,3,Atlanta Thrashers,1,,
2007-10-10,Phoenix Coyotes,0,Columbus Blue Jackets,3,,
2007-10-10,San Jose Sharks,2,Chicago Blackhawks,1,,
2007-10-10,Los Angeles Kings,1,Dallas Stars,5,,
2007-10-10,Calgary Flames,2,Detroit Red Wings,4,,
2007-10-10,Edmonton Oilers,0,Minnesota Wild,2,,
2007-10-10,New York Rangers,1,New York Islanders,2,,
2007-10-10,Montreal Canadiens,3,Pittsburgh Penguins,2,,
2007-10-10,Nashville Predators,1,St. Louis Blues,4,,
2007-10-10,Florida Panthers,1,Tampa Bay Lightning,2,,
2007-10-10,Philadelphia Flyers,8,Vancouver Canucks,2,,
2007-10-11,Atlanta Thrashers,0,Buffalo Sabres,6,,
2007-10-11,New Jersey Devils,0,Florida Panthers,3,,
2007-10-11,Phoenix Coyotes,6,Nashville Predators,3,,
2007-10-11,Carolina Hurricanes,5,Ottawa Senators,3,,
2007-10-11,New York Islanders,1,Toronto Maple Leafs,8,,
2007-10-12,Calgary Flames,3,Dallas Stars,2,OT,
2007-10-12,Chicago Blackhawks,3,Detroit Red Wings,2,,
2007-10-12,Vancouver Canucks,5,Edmonton Oilers,2,,
2007-10-12,Boston Bruins,8,Los Angeles Kings,6,,
2007-10-12,Washington Capitals,1,New York Rangers,3,,
