2010-10-21,Calgary Flames,2,Detroit Red Wings,4,,
2010-10-21,Minnesota Wild,4,Edmonton Oilers,2,,
2010-10-21,Dallas Stars,4,Florida Panthers,1,,
2010-10-21,New Jersey Devils,3,Montreal Canadiens,0,,
2010-10-21,Pittsburgh Penguins,4,Nashville Predators,3,OT,
2010-10-21,Anaheim Ducks,3,Philadelphia Flyers,2,,
2010-10-21,Los Angeles Kings,2,Phoenix Coyotes,4,,
2010-10-21,New York Islanders,3,Tampa Bay Lightning,2,OT,
2010-10-21,New York Rangers,2,Toronto Maple Leafs,1,,
2010-10-22,Tampa Bay Lightning,5,Atlanta Thrashers,2,,
2010-10-22,Ottawa Senators,4,Buffalo Sabres,2,,
2010-10-22,Calgary Flames,6,Columbus Blue Jackets,2,,
2010-10-22,Chicago Blackhawks,2,St. Louis Blues,4,,
2010-10-22,Minnesota Wild,1,Vancouver Canucks,5,,
2010-10-23,New York Rangers,3,Boston Bruins,2,,
2010-10-23,Columbus Blue Jackets,3,Chicago Blackhawks,2,,
2010-10-23,Los Angeles Kings,6,Colorado Avalanche,4,,
2010-10-23,Nashville Predators,1,Dallas Stars,0,,
2010-10-23,Anaheim Ducks,4,Detroit Red Wings,5,,
2010-10-23,San Jose Sharks,6,Edmonton Oilers,1,,
2010-10-23,New York Islanders,3,Florida Panthers,4,,
2010-10-23,Buffalo Sabres,6,New Jersey Devils,1,,
2010-10-23,Montreal Canadiens,3,Ottawa Senators,0,,
2010-10-23,Toronto Maple Leafs,2,Philadelphia Flyers,5,,
2010-10-23,Carolina Hurricanes,4,Phoenix Coyotes,3,OT,
2010-10-23,Pittsburgh Penguins,0,St. Louis Blues,1,OT,
2010-10-23,Atlanta Thrashers,3,Washington Capitals,4,OT,
2010-10-24,San Jose Sharks,0,Calgary Flames,4,,
2010-10-24,New Jersey Devils,1,New York Rangers,3,,
2010-10-24,Nashville Predators,4,Tampa Bay Lightning,3,,
2010-10-25,Philadelphia Flyers,1,Columbus Blue Jackets,2,,
2010-10-25,Los Angeles Kings,3,Minnesota Wild,2,SO,
2010-10-25,Phoenix Coyotes,2,Montreal Canadiens,3,OT,
2010-10-26,Edmonton Oilers,4,Calgary Flames,5,SO,
2010-10-26,Anaheim Ducks,5,Dallas Stars,2,,
2010-10-26,Phoenix Coyotes,2,Ottawa Senators,5,,
2010-10-26,Buffalo Sabres,3,Philadelphia Flyers,6,,
2010-10-26,Florida Panthers,1,Toronto Maple Leafs,3,,
2010-10-26,Colorado Avalanche,3,Vancouver Canucks,4,OT,
2010-10-27,Washington Capitals,3,Carolina Hurricanes,0,,
2010-10-27,Los Angeles Kings,1,Chicago Blackhawks,3,,
2010-10-27,New York Islanders,3,Montreal Canadiens,5,,
2010-10-27,Atlanta Thrashers,6,New York Rangers,4,,
2010-10-27,New Jersey Devils,2,San Jose Sharks,5,,
2010-10-27,Pittsburgh Penguins,3,Tampa Bay Lightning,5,,
2010-10-28,Toronto Maple Leafs,0,Boston Bruins,2,,
2010-10-28,Edmonton Oilers,2,Columbus Blue Jackets,3,SO,
2010-10-28,Colorado Avalanche,6,Calgary Flames,5,,
2010-10-28,Los Angeles Kings,5,Dallas Stars,2,,
2010-10-28,Phoenix Coyotes,4,Detroit Red Wings,2,,
2010-10-28,Washington Capitals,1,Minnesota Wild,2,,
2010-10-28,St. Louis Blues,3,Nashville Predators,0,,
2010-10-28,Florida Panthers,3,Ottawa Senators,5,,
2010-10-29,New Jersey Devils,2,Anaheim Ducks,1,,
2010-10-29,Buffalo Sabres,3,Atlanta Thrashers,4,OT,
2010-10-29,Edmonton Oilers,7,Chicago Blackhawks,4,,
2010-10-29,Montreal Canadiens,3,New York Islanders,1,,
2010-10-29,Carolina Hurricanes,4,New York Rangers,3,,
2010-10-29,Philadelphia Flyers,3,Pittsburgh Penguins,2,,
2010-10-30,Pittsburgh Penguins,3,Carolina Hurricanes,0,,
2010-10-30,Washington Capitals,7,Calgary Flames,2,,
2010-10-30,Columbus Blue Jackets,1,Colorado Avalanche,5,,
2010-10-30,Buffalo Sabres,0,Dallas Stars,4,,
2010-10-30,Nashville Predators,2,Detroit Red Wings,5,,
2010-10-30,New Jersey Devils,1,Los Angeles Kings,3,,
2010-10-30,Chicago Blackhawks,3,Minnesota Wild,1,,
2010-10-30,Florida Panthers,3,Montreal Canadiens,1,,
2010-10-30,Boston Bruins,4,Ottawa Senators,0,,
2010-10-30,New York Islanders,1,Philadelphia Flyers,6,,
2010-10-30,Tampa Bay Lightning,3,Phoenix Coyotes,0,,
2010-10-30,Anaheim Ducks,2,San Jose Sharks,5,,
2010-10-30,Atlanta Thrashers,3,St. Louis Blues,4,SO,
2010-10-30,New York Rangers,2,Toronto Maple Leafs,0,,
2010-11-01,Chicago Blackhawks,2,New York Rangers,3,,
2010-11-01,Carolina Hurricanes,2,Philadelphia Flyers,3,,
2010-11-01,New Jersey Devils,0,Vancouver Canucks,3,,
2010-11-02,Montreal Canadiens,0,Columbus Blue Jackets,3,,
2010-11-02,Vancouver Canucks,4,Edmonton Oilers,3,,
2010-11-02,San Jose Sharks,0,Minnesota Wild,1,,
2010-11-02,Ottawa Senators,3,Toronto Maple Leafs,2,,
2010-11-03,Tampa Bay Lightning,2,Anaheim Ducks,3,OT,
2010-11-03,Boston Bruins,5,Buffalo Sabres,2,,
2010-11-03,New York Islanders,2,Carolina Hurricanes,7,,
2010-11-03,Detroit Red Wings,2,Calgary Flames,1,,
2010-11-03,New Jersey Devils,5,Chicago Blackhawks,3,,
2010-11-03,Pittsburgh Penguins,2,Dallas Stars,5,,
2010-11-03,Atlanta Thrashers,4,Florida Panthers,3,,
2010-11-03,Nashville Predators,3,Phoenix Coyotes,4,,
2010-11-03,Toronto Maple Leafs,4,Washington Capitals,5,SO,
2010-11-04,Columbus Blue Jackets,3,Atlanta Thrashers,0,,
2010-11-04,Vancouver Canucks,3,Colorado Avalanche,1,,
2010-11-04,Tampa Bay Lightning,0,Los Angeles Kings,1,,
2010-11-04,New York Islanders,1,Ottawa Senators,4,,
2010-11-04,New York Rangers,1,Philadelphia Flyers,4,,
2010-11-04,San Jose Sharks,0,St. Louis Blues,2,,
2010-11-05,Pittsburgh Penguins,2,Anaheim Ducks,3,,
2010-11-05,Montreal Canadiens,3,Buffalo Sabres,2,,
2010-11-05,Phoenix Coyotes,3,Dallas Stars,6,,
2010-11-05,Detroit Red Wings,3,Edmonton Oilers,1,,
2010-11-05,Carolina Hurricanes,4,Florida Panthers,7,,
2010-11-05,Calgary Flames,1,Minnesota Wild,2,,
2010-11-05,New York Rangers,3,New Jersey Devils,0,,
2010-11-05,Boston Bruins,3,Washington Capitals,5,,
2010-11-06,Chicago Blackhawks,5,Atlanta Thrashers,4,SO,
